,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
269,1,YA,9,712,77,3,512,1,Reward2,0.02,incongruent,0
270,1,YA,9,712,78,4,382,1,Reward4,0.04,incongruent,0
271,1,YA,9,712,79,4,908,0,Reward1,0,incongruent,1
272,1,YA,9,712,80,4,517,1,Reward4,0.04,incongruent,0
273,1,YA,9,712,81,3,500,1,Reward1,0.01,congruent,0
274,1,YA,9,712,82,4,339,0,Reward4,0,congruent,0
275,1,YA,9,712,83,4,526,1,Reward4,0.04,congruent,0
276,1,YA,9,712,84,4,605,1,Reward2,0.02,congruent,0
277,1,YA,9,712,85,4,801,1,Reward1,0,incongruent,1
278,1,YA,9,712,86,3,668,1,Reward4,0.04,incongruent,1
279,1,YA,9,712,87,3,939,1,Reward1,0,congruent,1
280,1,YA,9,712,88,4,364,1,Reward4,0.04,congruent,0
281,1,YA,9,712,89,4,488,1,Reward2,0.02,incongruent,0
282,1,YA,9,712,90,3,459,1,Reward1,0.01,incongruent,0
283,1,YA,9,712,91,4,503,1,Reward4,0.04,incongruent,1
284,1,YA,9,712,92,4,437,1,Reward2,0.02,congruent,0
285,1,YA,9,712,93,4,443,1,Reward1,0.01,incongruent,0
286,1,YA,9,712,94,3,411,1,Reward1,0.01,congruent,0
287,1,YA,9,712,95,4,488,1,Reward4,0.04,congruent,1
288,1,YA,9,712,96,3,531,1,Reward1,0.01,congruent,0
2881,2,YA,7,617,1,3,659,1,Reward2,0,congruent,0
2882,2,YA,7,617,2,4,625,1,Reward2,0,incongruent,0
2883,2,YA,7,617,3,4,586,1,Reward2,0.02,congruent,1
2884,2,YA,7,617,4,4,589,1,Reward2,0.02,incongruent,0
2885,2,YA,7,617,5,3,510,1,Reward4,0.04,incongruent,0
2886,2,YA,7,617,6,4,651,1,Reward2,0,congruent,1
2887,2,YA,7,617,7,3,1209,1,Reward4,0,congruent,0
2888,2,YA,7,617,8,4,900,0,Reward1,0,incongruent,0
2889,2,YA,7,617,9,4,686,1,Reward2,0,incongruent,0
2890,2,YA,7,617,10,3,750,1,Reward1,0,congruent,1
2891,2,YA,7,617,11,3,508,1,Reward1,0.01,congruent,1
2892,2,YA,7,617,12,3,356,1,Reward2,0.02,incongruent,1
2893,2,YA,7,617,13,4,782,0,Reward1,0,congruent,0
2894,2,YA,7,617,14,3,375,1,Reward4,0.04,congruent,0
2895,2,YA,7,617,15,4,514,1,Reward2,0.02,congruent,0
2896,2,YA,7,617,16,4,390,1,Reward4,0.04,incongruent,0
2897,2,YA,7,617,17,4,402,1,Reward2,0.02,incongruent,1
2898,2,YA,7,617,18,3,804,0,Reward4,0,incongruent,0
2899,2,YA,7,617,19,4,415,1,Reward2,0.02,congruent,0
